"","Firm","YearFrom","YearTo","NumYears","OptimalCutoff","NumInSample","OptimalCutoffDividedByNumInSample","AvgAccBefore","AvgAccAfter","DropInAcc","tValue","pValue"
"1","All",1984,1984,1,18,50,0.36,0.927692307692308,0.87875,0.0489423076923077,4.14936213250984,0.000155761561851281
"2","All",1985,1985,1,18,73,0.246575342465753,0.943097997892518,0.881942714819427,0.0611552830730914,8.02337709478687,2.44161567269285e-11
"3","All",1986,1986,1,23,98,0.23469387755102,0.961451247165533,0.864489795918367,0.0969614512471655,12.7413232788908,6.62787183823846e-22
"4","All",1987,1987,1,30,98,0.306122448979592,0.953469387755102,0.870348139255702,0.0831212484993997,12.1853992322877,1.49902263653525e-19
"5","All",1988,1988,1,30,99,0.303030303030303,0.947070707070707,0.874103352364222,0.0729673547064851,10.6772687351397,8.88837692851147e-18
"6","All",1989,1989,1,26,99,0.262626262626263,0.957671957671958,0.884184308841843,0.0734876488301146,13.8707994504901,3.27884472516196e-24
"7","All",1990,1990,1,26,99,0.262626262626263,0.954304954304954,0.892624878926249,0.0616800753787056,10.4664630556702,2.7160141361263e-17
"8","All",1991,1991,1,18,100,0.18,0.966153846153846,0.895609756097561,0.0705440900562851,15.7625441913489,6.82833836304627e-28
"9","All",1992,1992,1,25,100,0.25,0.9655,0.910266666666667,0.0552333333333334,12.2042649567418,6.87515619548843e-20
"10","All",1993,1993,1,20,99,0.202020202020202,0.956902356902357,0.905255082470272,0.0516472744320846,12.3389537918346,3.85063190427373e-19
"11","All",1994,1994,1,14,99,0.141414141414141,0.974186307519641,0.909328579916815,0.0648577276028256,13.0381248971154,6.6120661624305e-12
"12","All",1995,1995,1,42,100,0.42,0.942702702702703,0.88948275862069,0.053219944082013,9.25793006551167,8.67335158318036e-15
"13","All",1996,1996,1,17,100,0.17,0.965,0.909036144578313,0.0559638554216867,10.4822025995454,5.73359841217975e-12
"14","All",1997,1997,1,13,100,0.13,0.96875,0.89551724137931,0.0732327586206897,15.8420035078191,8.42301817799335e-18
"15","All",1998,1998,1,24,187,0.128342245989305,0.961441035744441,0.869787736622814,0.0916532991216271,17.8907289302319,1.10332184091164e-22
"16","All",1999,1999,1,20,190,0.105263157894737,0.969473684210526,0.86671826625387,0.102755417956656,21.1896733330199,5.53635075667382e-28
"17","All",2000,2000,1,20,194,0.103092783505155,0.971477663230241,0.896166607417941,0.0753110558123,16.8918791976169,5.49731320149619e-16
"18","All",2001,2001,1,21,193,0.10880829015544,0.963082901554404,0.905199421617062,0.0578834799373419,11.7299356510157,6.456887089463e-11
"19","All",2002,2002,1,20,196,0.102040816326531,0.958163265306123,0.90801832096475,0.050144944341373,13.7220263437362,2.19778054305457e-15
"20","All",2003,2003,1,31,196,0.158163265306122,0.955259026687598,0.909987631416203,0.0452713952713952,15.7997115534984,2.74200794169659e-31
"21","All",2004,2004,1,51,197,0.258883248730964,0.935886117854778,0.902892705653292,0.0329934122014857,7.58984467762183,2.14540922303373e-11
"22","All",2005,2005,1,20,198,0.101010101010101,0.968013468013468,0.907899216887981,0.0601142511254871,17.9861484848281,1.42041120432478e-21
"23","All",2006,2006,1,40,199,0.201005025125628,0.948456568557071,0.905818400176986,0.0426381683800855,11.0958093801219,1.28052256474837e-17
"24","All",2007,2007,1,21,197,0.106598984771574,0.962246192893401,0.910879095523766,0.0513670973696355,10.3315835808906,4.33970160527922e-10
"25","All",2008,2008,1,20,197,0.101522842639594,0.964805414551607,0.925492557859417,0.0393128566921908,9.21213689708136,9.03911868877903e-10
"26","All",2009,2009,1,20,199,0.100502512562814,0.963819095477387,0.921731562842144,0.0420875326352433,9.62839813966223,3.56605644569723e-10
"27","All",2010,2010,1,76,198,0.383838383838384,0.945511452553706,0.917784401390959,0.0277270511627473,8.43308183270174,1.84146945626637e-14
"28","All",2011,2011,1,72,197,0.365482233502538,0.951587241457686,0.926010152284264,0.0255770891734223,8.06232584897016,9.69327063894764e-14
"29","All",2012,2012,1,88,194,0.45360824742268,0.94857781642032,0.915726512351683,0.0328513040686379,10.4654360963194,5.14841744189229e-19
"30","All",2013,2013,1,63,194,0.324742268041237,0.956452186277995,0.917919257102385,0.0385329291756105,9.99196941056415,4.45410688274969e-19
"31","All",2014,2014,1,82,191,0.429319371727749,0.948527911878697,0.911763293145684,0.036764618733013,9.18576384841305,4.12571713240692e-16
"32","All",2015,2015,1,20,183,0.109289617486339,0.956648451730419,0.920077776660297,0.0365706750701219,8.75405252636219,2.02274802549099e-11
